,Bangalore,Hyderabad,Kolkata,Delhi,Bhopal,Thiruvananthapuram,Lucknow,Chennai,Srinagar,Gandhinagar,Mumbai,Ahmedabad,Pune,Nagpur,Jaipur,Chandigarh,Guwahati,Indore,Aurangabad,Patna
Bangalore,100000.0,496.799,100000.0,100000.0,100000.0,497.965,100000.0,292.277,100000.0,100000.0,832.985,100000.0,732.354,918.052,100000.0,100000.0,100000.0,100000.0,800.326,100000.0
Hyderabad,496.799,100000.0,100000.0,100000.0,659.163,994.547,100000.0,515.383,100000.0,886.115,619.424,875.34,503.809,421.414,100000.0,100000.0,100000.0,649.518,429.389,100000.0
Kolkata,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,887.592,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,972.061,100000.0,100000.0,527.185,100000.0,100000.0,470.781
Delhi,100000.0,100000.0,100000.0,100000.0,597.776,100000.0,417.549,100000.0,643.165,755.782,100000.0,778.032,100000.0,851.94,236.786,233.431,100000.0,670.982,990.459,852.552
Bhopal,100000.0,659.163,100000.0,597.776,100000.0,100000.0,533.137,100000.0,100000.0,486.39,673.581,494.554,641.242,290.737,435.447,829.113,100000.0,168.172,431.042,825.003
Thiruvananthapuram,497.965,994.547,100000.0,100000.0,100000.0,100000.0,100000.0,622.846,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
Lucknow,100000.0,100000.0,887.592,417.549,533.137,100000.0,100000.0,100000.0,993.692,926.807,100000.0,943.527,100000.0,657.589,508.204,592.203,100000.0,685.819,959.684,440.139
Chennai,292.277,515.383,100000.0,100000.0,100000.0,622.846,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,914.641,902.175,100000.0,100000.0,100000.0,100000.0,918.774,100000.0
Srinagar,100000.0,100000.0,100000.0,643.165,100000.0,100000.0,993.692,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,799.377,414.591,100000.0,100000.0,100000.0,100000.0
Gandhinagar,100000.0,886.115,100000.0,755.782,486.39,100000.0,926.807,100000.0,100000.0,100000.0,474.769,23.441,535.453,701.906,519.275,925.416,100000.0,334.743,463.526,100000.0
Mumbai,832.985,619.424,100000.0,100000.0,673.581,100000.0,100000.0,100000.0,100000.0,474.769,100000.0,452.822,116.984,697.765,934.885,100000.0,100000.0,524.304,282.741,100000.0
Ahmedabad,100000.0,875.34,100000.0,778.032,494.554,100000.0,943.527,100000.0,100000.0,23.441,452.822,100000.0,515.603,702.232,541.405,948.657,100000.0,339.102,450.54,100000.0
Pune,732.354,503.809,100000.0,100000.0,641.242,100000.0,100000.0,914.641,100000.0,535.453,116.984,515.603,100000.0,620.042,951.275,100000.0,100000.0,510.035,216.561,100000.0
Nagpur,918.052,421.414,972.061,851.94,290.737,100000.0,657.589,902.175,100000.0,701.906,697.765,702.232,620.042,100000.0,719.618,100000.0,100000.0,374.789,415.035,790.602
Jaipur,100000.0,100000.0,100000.0,236.786,435.447,100000.0,508.204,100000.0,799.377,519.275,934.885,541.405,951.275,719.618,100000.0,431.474,100000.0,464.8,781.114,940.31
Chandigarh,100000.0,100000.0,100000.0,233.431,829.113,100000.0,592.203,100000.0,414.591,925.416,100000.0,948.657,100000.0,100000.0,431.474,100000.0,100000.0,890.76,100000.0,996.774
Guwahati,100000.0,100000.0,527.185,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,667.344
Indore,100000.0,649.518,100000.0,670.982,168.172,100000.0,685.819,100000.0,100000.0,334.743,524.304,339.102,510.035,374.789,464.8,890.76,100000.0,100000.0,319.542,993.17
Aurangabad,800.326,429.389,100000.0,990.459,431.042,100000.0,959.684,918.774,100000.0,463.526,282.741,450.54,216.561,415.035,781.114,100000.0,100000.0,319.542,100000.0,100000.0
Patna,100000.0,100000.0,470.781,852.552,825.003,100000.0,440.139,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,790.602,940.31,996.774,667.344,993.17,100000.0,100000.0
